Platform,WorkLoad,SubWorkLoad,SubWorkLoadScenario,Description,Action Type,Telemetry all,action_gesture,module_name,module_type,action_outcome,panel_type,action_scenario,action_scenario_type,action_subWorkLoad,thread_type,databag.rsvp,module_summary,target_thread_type,databag.meeting_rsvp,databag.is_toggle_on,databag.community_rsvp,main_entity_type,main_slot_app,eventInfo.identifier,databag.action_type,subNav_entity_type
Android,Collab action,Meeting,Meeting - Options - Presenting/Sharing video,"Inside the meeting, click on the 3 dots, then click on the share option, then click on share video button to capture this scenario",Secondary,"{""appMode"":""phone"",
""eventName"":""panelaction"",
""id"":1723545430765,
""isBlocked"":false,
""isContact"":false,
""licenseType"":""Unknown"",
""mDatabagProp"":""{userAccountType:MSA,identityType:native,participantRole:organizer}"",
""mDatabagPropMap"":{""userAccountType"":""MSA"",
""identityType"":""native"",
""participantRole"":""organizer""},
""moduleName"":""meetingJoinedSuccessfully"",
""moduleType"":""view"",
""panelType"":""view"",
""paywallLicense"":""TeamsFree"",
""paywallStatus"":""false"",
""realDisplayHeightDp"":823.4667,
""realDisplayWidthDp"":384.0,
""scenario"":""meetingJoin"",
""scenarioType"":""meetingJoin"",
""smartReplyClickPosition"":-1,
""smartReplyLength"":-1,
""smbIntent"":""Neutral"",
""smbIntentConfidenceScore"":""0.50"",
""smbIntentScore"":""0.50"",
""teamSize"":0,
""threadId"":""19:meeting_ZjNkMTEzODUtNGVkZC00MGQ4LTk1ZmQtODNiZjM3YWU1NTk2@thread.v2"",
""userRole"":""default"",
""mLogAnonymously"":false,
""mStartTimeMillis"":38342365}",,meetingJoinedSuccessfully,view,,view,meetingJoin,meetingJoin,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Options - Presenting/Sharing video,"Inside the meeting, click on the 3 dots, then click on the share option, then click on share video button to capture this scenario",Secondary,"{""appMode"":""phone"",
""eventName"":""panelaction"",
""gesture"":""tap"",
""id"":1723545432339,
""isBlocked"":false,
""isContact"":false,
""licenseType"":""Unknown"",
""mDatabagPropMap"":{},
""moduleName"":""joinNowButton"",
""moduleType"":""button"",
""outcome"":""submit"",
""panelType"":""preJoin"",
""paywallLicense"":""TeamsFree"",
""paywallStatus"":""false"",
""realDisplayHeightDp"":823.4667,
""realDisplayWidthDp"":384.0,
""scenario"":""meetingJoinNowWithPSTN"",
""scenarioType"":""callOrMeetUp"",
""smartReplyClickPosition"":-1,
""smartReplyLength"":-1,
""smbIntent"":""Neutral"",
""smbIntentConfidenceScore"":""0.50"",
""smbIntentScore"":""0.50"",
""teamSize"":0,
""userRole"":""default"",
""mLogAnonymously"":false,
""mStartTimeMillis"":38343939}",tap,joinNowButton,button,submit,preJoin,meetingJoinNowWithPSTN,callOrMeetUp,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Options - Presenting/Sharing screen,"Inside the meeting, click on the 3 dots, then click on the share option, then click on share screen button to capture this scenario",Primary ,"{
""appMode"": ""phone"",
""callld"": ""1238e004-14f4-452c-8287-f8814f5ce583"",
""callType"": ""scheduled Private Meeting"",
""collabAppEnabled"": false,
""eventName"": ""panelaction"",
""gesture"": ""tap"",
""id"": 1721743274806,
""isBlocked"": false,
""isContact"": false,
""licenseType"": ""Unknown"",
""mDatabag PropMap"": {},
""moduleName"": ""startscreenshareButton"",
""moduleNameNew"": ""shareScreen"",
""moduleType"": ""button"",
""moduleTypeNew"": ""videoButton"", ""newChatAndChannelEnabled"": false,
""outcome"": ""submit"",
""outcomeNew"": ""submit"",
""panelType"": ""callOrMeetupLive"",
""panel TypeNew"": ""ubar"",
""paywallLicense"": ""TeamsFree"",
""paywallStatus"": ""false"",
""real DisplayHeightDp"": 804,
""real DisplayWidthDp"": 360,
""regionNew"": ""main"",
""scenario"": ""shareScreen"",
""scenarioType"": ""share"",
""smartReplyClickPosition"": -1,
""smartReplyLength"": -1,
""smbintent"": ""Neutral"",
""smbintentConfidenceScore"": ""0.50"",
""smbIntentScore"": ""0.50"",
""teamSize"": 0,
""userRole"": ""default"",
""mLogAnonymously"": false,
}
""mStartTimeMillis"": 153770563",tap,startscreenshareButton,button,submit,callOrMeetupLive,shareScreen,share,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Options - Presenting/Sharing screen,"Inside the meeting, click on the 3 dots, then click on the share option, then click on share screen button to capture this scenario",Secondary,"{""appMode"":""phone"",
""eventName"":""panelaction"",
""gesture"":""tap"",
""id"":1723545807315,
""isBlocked"":false,
""isContact"":false,
""licenseType"":""Unknown"",
""mDatabagPropMap"":{},
""moduleName"":""joinNowButton"",
""moduleType"":""button"",
""outcome"":""submit"",
""panelType"":""preJoin"",
""paywallLicense"":""TeamsFree"",
""paywallStatus"":""false"",
""realDisplayHeightDp"":823.4667,
""realDisplayWidthDp"":384.0,
""scenario"":""meetingJoinNowWithPSTN"",
""scenarioType"":""callOrMeetUp"",
""smartReplyClickPosition"":-1,
""smartReplyLength"":-1,
""smbIntent"":""Neutral"",
""smbIntentConfidenceScore"":""0.50"",
""smbIntentScore"":""0.50"",
""teamSize"":0,
""userRole"":""default"",
""mLogAnonymously"":false,
""mStartTimeMillis"":38718915}",tap,joinNowButton,button,submit,preJoin,meetingJoinNowWithPSTN,callOrMeetUp,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Options - Turning on video,"Inside the meeting, click on the camera button when the camera is turned on, capture this scenario",Secondary,"{""appMode"":""phone"",
""eventName"":""panelaction"",
""gesture"":""tap"",
""id"":1723546025605,
""isBlocked"":false,
""isContact"":false,
""licenseType"":""Unknown"",
""mDatabagPropMap"":{},
""moduleName"":""joinNowButton"",
""moduleType"":""button"",
""outcome"":""submit"",
""panelType"":""preJoin"",
""paywallLicense"":""TeamsFree"",
""paywallStatus"":""false"",
""realDisplayHeightDp"":823.4667,
""realDisplayWidthDp"":384.0,
""scenario"":""meetingJoinNowWithPSTN"",
""scenarioType"":""callOrMeetUp"",
""smartReplyClickPosition"":-1,
""smartReplyLength"":-1,
""smbIntent"":""Neutral"",
""smbIntentConfidenceScore"":""0.50"",
""smbIntentScore"":""0.50"",
""teamSize"":0,
""userRole"":""default"",
""mLogAnonymously"":false,
""mStartTimeMillis"":38937205}",tap,joinNowButton,button,submit,preJoin,meetingJoinNowWithPSTN,callOrMeetUp,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Options - Turning on video,"Inside the meeting, click on the camera button when the camera is turned on, capture this scenario",Primary ,"""appMode"": ""phone"",
""callDataBag Prop"": ""{\""callId\"":
\""3532bd77-d851-4f52-aff5-34484601b285\"",
\""isEvEnabled\"":\""false\"",\""participantId\"":
\""846a7bd2-26a9-49e8-8958-ab5d087b38a8\""}"",
""callid"": ""3532bd77-d851-4f52-aff5-34484601b285"",
""callType"": ""scheduled Private Meeting"",
""collabAppEnabled"": false,
""eventName"": ""panelaction"",
""gesture"": ""tap"",
""id"": 1721743558572,
""isBlocked"": false,
""isContact"": false,
""licenseType"": ""Unknown"",
""mDatabag PropMap"": {},
""moduleName"": ""videoButtonOn"",
""moduleNameNew""; ""videoOn"",
""moduleType"": ""button"",
""module TypeNew"": ""videoButton"",
""newChatAndChannelEnabled"": false,
""outcome"": ""nav"",
""outcomeNew"": ""submit"",
""panelType"": ""callOrMeetupLive"",
""panel TypeNew"": ""ubar"",
""paywallLicense"": ""TeamsFree"",
""paywallStatus"": ""false"",
""real Display HeightDp"": 804,
""real DisplayWidthDp"": 360,
""regionNew"": ""main"",
""scenario"": ""callOrMeetUpVideoSwitch"",
""scenarioType"": ""callOrMeetUp"",
""smartReplyClickPosition"": -1,
""smartReplyLength"": -1,
""smbintent"": ""Neutral"",
""smbIntentConfidenceScore"": ""0.50"",
""smbIntentScore"": ""0.50"",
""subWorkLoad"": ""video"",
""teamSize"": 0,
""threadid"":
""19:meeting_Zjc2YjNkY2MtZGY0Yi00YjM3LTgwNDEIM
zgzNTQ5NjFmY2Fj@thread.v2"",
""userRole"": ""default"",
""workLoad"": ""callMeeting Management"",
""mLogAnonymously"": false,
""mStartTimeMillis"": 154000236",tap,videoButtonOn,button,nav,callOrMeetupLive,callOrMeetUpVideoSwitch,callOrMeetUp,video,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Options - UnMute,"Inside the meeting, click on the mic button when the mic is turned on, capture this scenario",Primary ,"""appMode"": ""phone"",
""callDataBag Prop"": ""{\""callId\"":
\""3532bd77-d851-4f52-aff5-34484601b285\"",
\""isEvEnabled\"":\""false\"",\""participantId\"":
\""846a7bd2-26a9-49e8-8958-ab5d087b38a8\""}"",
""callid"": ""3532bd77-d851-4f52-aff5-34484601b285"",
""callType"": ""scheduled Private Meeting"",
""collabAppEnabled"": false,
""eventName"": ""panelaction"",
""gesture"": ""tap"",
""id"": 1721744487298,
""isBlocked"": false,
""isContact"": false,
""licenseType"": ""Unknown"",
""mDatabag PropMap"": {},
""moduleName"": ""microphone ButtonOn"",
""moduleNameNew""; ""unmute"",
""moduleType"": ""button"",
""moduleTypeNew"": ""videoButton"",
""newChatAndChannelEnabled"": false,
""outcome"": ""nav"",
""outcomeNew"": ""submit"",
""panelType"": ""callOrMeetupLive"",
""panel TypeNew"": ""ubar"",
""paywallLicense"": ""TeamsFree"",
""paywallStatus"": ""false"",
""real Display HeightDp"": 804,
""real DisplayWidthDp"": 360,
""regionNew"": ""main"",
""scenario"": ""callOrMeetUpMicrophoneSwitch"",
""scenarioType"": ""callOrMeetUp"",
""smartReplyClickPosition"": -1,
""smartReplyLength"": -1,
""smbintent"": ""Neutral"",
""smbIntentConfidenceScore"": ""0.50"",
""smbIntentScore"": ""0.50"",
""subWorkLoad"": ""mute"",
""teamSize"": 0,
""threadid"":
""19:meeting_Zjc2YjNkY2MtZGY0Yi00YjM3LTgwNDEIM
zgzNTQ5NjFmY2Fj@thread.v2"",
""userRole"": ""default"",
""workLoad"": ""callMeeting Management"",
""mLogAnonymously"": false,
""mStartTimeMillis"": 154928962
}",tap,microphone ButtonOn,button,nav,callOrMeetupLive,callOrMeetUpMicrophoneSwitch,callOrMeetUp,mute,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Options - UnMute,"Inside the meeting, click on the mic button when the mic is turned on, capture this scenario",Secondary,"{""appMode"":""phone"",
""eventName"":""panelaction"",
""gesture"":""tap"",
""id"":1723546201640,
""isBlocked"":false,
""isContact"":false,
""licenseType"":""Unknown"",
""mDatabagPropMap"":{},
""moduleName"":""joinNowButton"",
""moduleType"":""button"",
""outcome"":""submit"",
""panelType"":""preJoin"",
""paywallLicense"":""TeamsFree"",
""paywallStatus"":""false"",
""realDisplayHeightDp"":823.4667,
""realDisplayWidthDp"":384.0,
""scenario"":""meetingJoinNowWithPSTN"",
""scenarioType"":""callOrMeetUp"",
""smartReplyClickPosition"":-1,
""smartReplyLength"":-1,
""smbIntent"":""Neutral"",
""smbIntentConfidenceScore"":""0.50"",
""smbIntentScore"":""0.50"",
""teamSize"":0,
""userRole"":""default"",
""mLogAnonymously"":false,
""mStartTimeMillis"":39113240}",tap,joinNowButton,button,submit,preJoin,meetingJoinNowWithPSTN,callOrMeetUp,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Options - Changing layout - Gallery view,"Inside the meeting, click on the 3 dots, then click on the views option to capture this scenario",Primary ,"{
""appMode"": ""phone"",
""callType"": ""scheduled Private Meeting"",
""collabAppEnabled"": false,
""eventName"": ""panelaction"",
""gesture"": ""tap"",
""id"": 1721744809404,
""isBlocked"": false,
""isContact"": false,
""licenseType"": ""Unknown"",
""mDatabag PropMap"": {},
""moduleName"": ""changeStageLayout"",
""moduleType"": ""button"",
""newChatAndChannelEnabled"": false,
""outcome"": ""nav"",
""panelType"": ""stageSwitcher"",
""paywallLicense"": ""TeamsFree"",
""paywallStatus"": ""false"",
""real DisplayHeightDp"": 804,
""real DisplayWidthDp"": 360,
""scenario"": ""stageLayoutChange"",
""scenarioType"": ""stageLayout"",
""smartReplyClickPosition"": -1,
""smartReplyLength"": -1,
""smbintent"": ""Neutral"",
""smbIntentConfidenceScore"": ""0.50"",
""smbIntentScore"": ""0.50"",
""teamSize"": 0,
""userRole"": ""default"",
""mLogAnonymously"": false,
""mStartTimeMillis"": 155251068
}",tap,changeStageLayout,button,nav,stageSwitcher,stageLayoutChange,stageLayout,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Options - Live Caption,"Inside the meeting, click on the 3 dots, then click on the turn on live captions button to capture this scenario",Primary ,"{
""appMode"": ""phone"",
""callid"": ""3532bd77-d851-4f52-aff5-34484601b285"",
""callType"": ""scheduled Private Meeting"",
""collabAppEnabled"": false,
""eventName"": ""panelaction"",
""gesture"": ""tap"",
""id"": 1721745170538,
""isBlocked"": false,
""isContact"": false,
""licenseType"": ""Unknown"",
""mDatabag PropMap"": {},
""moduleName"": ""liveCaptionsOnButton"",
""moduleType"": ""button"",
""newChatAndChannelEnabled"": false,
""outcome"": ""submit"",
""panelType"": ""moreActionSheet"",
""paywallLicense"": ""TeamsFree"",
""paywallStatus"": ""false"",
""real DisplayHeightDp"": 804,
""real DisplayWidthDp"": 360,
""scenario"": ""liveCaptions"",
""scenarioType"": ""callOrMeetUp"",
""smartReplyClickPosition"": -1,
""smartReply Length"": -1,
""smbintent"": ""Neutral"",
""smbIntentConfidenceScore"": ""0.50"",
""smbIntentScore"": ""0.50"",
""teamSize"": 0,
""userRole"": ""default"",
""mLogAnonymously"": false,
}
""mStartTimeMillis"": 155612203",tap,liveCaptionsOnButton,button,submit,moreActionSheet,liveCaptions,callOrMeetUp,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Options - Hold the call,"Inside the meeting, click on the 3 dots, then click on the turn on put me on hold button to capture this scenario",Secondary,"{""appMode"":""phone"",
""eventName"":""panelaction"",
""gesture"":""tap"",
""id"":1723546564996,
""isBlocked"":false,
""isContact"":false,
""licenseType"":""Unknown"",
""mDatabagPropMap"":{},
""moduleName"":""joinNowButton"",
""moduleType"":""button"",
""outcome"":""submit"",
""panelType"":""preJoin"",
""paywallLicense"":""TeamsFree"",
""paywallStatus"":""false"",
""realDisplayHeightDp"":823.4667,
""realDisplayWidthDp"":384.0,
""scenario"":""meetingJoinNowWithPSTN"",
""scenarioType"":""callOrMeetUp"",
""smartReplyClickPosition"":-1,
""smartReplyLength"":-1,
""smbIntent"":""Neutral"",
""smbIntentConfidenceScore"":""0.50"",
""smbIntentScore"":""0.50"",
""teamSize"":0,
""userRole"":""default"",
""mLogAnonymously"":false,
""mStartTimeMillis"":39476596}",tap,joinNowButton,button,submit,preJoin,meetingJoinNowWithPSTN,callOrMeetUp,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Options - Hold the call,"Inside the meeting, click on the 3 dots, then click on the turn on put me on hold button to capture this scenario",Primary ,"""appMode"": ""phone"",
""callDataBag Prop"": ""{\""callId\"":
\""ca006ce0-3d7c-4486-a218-9bdbb3e18ae8\"",
\""isEvEnabled\"":\""false\"",\""participantId\"":
\""7f26ab71-1bcd-4c52-bf6a-eb1820fae54f\""}"",
""callid"": ""ca006ce0-3d7c-4486-a218-9bdbb3e18ae8"",
""callType"": ""scheduled Private Meeting"",
""collabAppEnabled"": false,
""eventName"": ""panelaction"",
""gesture"": ""tap"",
""id"": 1721835985060,
""isBlocked"": false,
""isContact"": false,
""licenseType"": ""Unknown"",
""mDatabag PropMap"": {},
""moduleName"": ""holdButton"",
""moduleType"": ""button"",
""newChatAndChannelEnabled"": false,
""outcome"": ""nav"",
""panelType"": ""callOrMeetupLive"",
""paywallLicense"": ""TeamsFree"",
""paywallStatus"": ""false"",
""real DisplayHeightDp"": 804,
""real DisplayWidthDp"": 360,
""scenario"": ""callOrMeetUpHold"",
""scenarioType"": ""callOrMeetUp"",
""smartReplyClickPosition"": -1,
""smartReplyLength"": -1,
""smbintent"": ""Neutral"",
""smbintentConfidenceScore"": ""0.50"",
""smbIntentScore"": ""0.50"",
""teamSize"": 0,
""threadId"":
""19:meeting_NTk2ZjBiYzUtZTcyMi00YjM3LTk1MDctOG
JIOTQ5MGE5YjVk@thread.v2"",
""userRole"": ""default"",
""mLogAnonymously"": false,
""mStartTimeMillis"": 184277040",tap,holdButton,button,nav,callOrMeetupLive,callOrMeetUpHold,callOrMeetUp,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Options - Resume a call,"Inside the meeting, after clicking put me on hold option, click on the resume button appearing on the screen to capture this scenario",Secondary,"{""appMode"":""phone"",
""eventName"":""panelaction"",
""gesture"":""tap"",
""id"":1723546638023,
""isBlocked"":false,
""isContact"":false,
""licenseType"":""Unknown"",
""mDatabagPropMap"":{},
""moduleName"":""joinNowButton"",
""moduleType"":""button"",
""outcome"":""submit"",
""panelType"":""preJoin"",
""paywallLicense"":""TeamsFree"",
""paywallStatus"":""false"",
""realDisplayHeightDp"":823.4667,
""realDisplayWidthDp"":384.0,
""scenario"":""meetingJoinNowWithPSTN"",
""scenarioType"":""callOrMeetUp"",
""smartReplyClickPosition"":-1,
""smartReplyLength"":-1,
""smbIntent"":""Neutral"",
""smbIntentConfidenceScore"":""0.50"",
""smbIntentScore"":""0.50"",
""teamSize"":0,
""userRole"":""default"",
""mLogAnonymously"":false,
""mStartTimeMillis"":39549624}",tap,joinNowButton,button,submit,preJoin,meetingJoinNowWithPSTN,callOrMeetUp,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Options - Resume a call,"Inside the meeting, after clicking put me on hold option, click on the resume button appearing on the screen to capture this scenario",Primary ,"{
""appMode"": ""phone"",
""callDataBag Prop"": ""{\""callId\"":
\""ca006ce0-3d7c-4486-a218-9bdbb3e18ae8\"",
\""isEvEnabled\"":\""false\"",\""participantId\"":
\""7f26ab71-1bcd-4c52-bf6a-eb1820fae54f\""}"",
""callid"": ""ca006ce0-3d7c-4486-a218-9bdbb3e18ae8"",
""callType"": ""scheduled Private Meeting"",
""collabAppEnabled"": false,
""eventName"": ""panelaction"",
""gesture"": ""tap"",
""id"": 1721835803329,
""isBlocked"": false,
""isContact"": false,
""licenseType"": ""Unknown"",
""mDatabagPropMap"": {},
""moduleName"": ""resumeButton"",
""moduleType"": ""button"",
""newChatAndChannelEnabled"": false,
""outcome"": ""nav"",
""panelType"": ""callOrMeetupLive"",
""paywallLicense"": ""TeamsFree"",
""paywallStatus"": ""false"",
""real DisplayHeightDp"": 804,
""realDisplayWidthDp"": 360,
""scenario"": ""call OrMeetUpResume"",
""scenarioType"": ""callOrMeetUp"",
""smartReplyClickPosition"": -1,
""smartReplyLength"": -1,
""smbIntent"": ""Neutral"",
""smbIntentConfidenceScore"": ""0.50"",
""smbIntentScore"": ""0.50"",
""teamSize"": 0,
""threadId"":
""19:meeting_NTk2ZjBiYzUtZTcyMi00YjM3LTk1MDctOG
JIOTQ5MGE5YjVk@thread.v2"",
""userRole"": ""default"",
""mLogAnonymously"": false,
""mStartTimeMillis"": 184095309",tap,resumeButton,button,nav,callOrMeetupLive,call OrMeetUpResume,callOrMeetUp,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Options - Resume a call,"Inside the meeting, after clicking put me on hold option, click on the resume button appearing on the screen to capture this scenario",Secondary,"{""appMode"":""phone"",
""callId"":""e88bf9f5-1883-4649-8d64-fa793d80db20"",
""callType"":""scheduledPrivateMeeting"",
""eventName"":""panelaction"",
""gesture"":""tap"",
""id"":1723546638231,
""isBlocked"":false,
""isContact"":false,
""licenseType"":""Unknown"",
""mDatabagPropMap"":{},
""moduleName"":""private"",
""moduleType"":""button"",
""outcome"":""submit"",
""panelType"":""button"",
""paywallLicense"":""TeamsFree"",
""paywallStatus"":""false"",
""realDisplayHeightDp"":823.4667,
""realDisplayWidthDp"":384.0,
""scenario"":""webinarAttendeeJoin"",
""scenarioType"":""webinarAttendeeJoin"",
""smartReplyClickPosition"":-1,
""smartReplyLength"":-1,
""smbIntent"":""Neutral"",
""smbIntentConfidenceScore"":""0.50"",
""smbIntentScore"":""0.50"",
""teamSize"":0,
""userRole"":""default"",
""mLogAnonymously"":false,
""mStartTimeMillis"":39549831}",tap,private,button,submit,button,webinarAttendeeJoin,webinarAttendeeJoin,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Options - Turn off incoming video,"Inside the meeting, click on the 3 dots, then click on the turn off incoming video button to capture this scenario",Primary ,"""appMode"": ""phone"",
""callDataBag Prop"": ""{\""callId\"":
\""ca006ce0-3d7c-4486-a218-9bdbb3e18ae8\"",
\""isEvEnabled\"":\""false\"",\""participantId\"":
\""7f26ab71-1bcd-4c52-bf6a-eb1820fae54f\""}"",
""callid"": ""ca006ce0-3d7c-4486-a218-9bdbb3e18ae8"",
""callType"": ""scheduled Private Meeting"",
""collabAppEnabled"": false,
""eventName"": ""panelaction"",
""gesture"": ""tap"",
""id"": 1721837509584,
""isBlocked"": false,
""isContact"": false,
""licenseType"": ""Unknown"",
""mDatabag PropMap"": {},
""moduleName"": ""incomingVideoButtonOff"",
""moduleType"": ""button"",
""newChatAndChannelEnabled"": false,
""outcome"": ""nav"",
""panelType"": ""callOrMeetupLive"",
""paywallLicense"": ""TeamsFree"",
""paywallStatus"": ""false"",
""real DisplayHeightDp"": 804,
""real DisplayWidthDp"": 360,
""scenario"": ""callOrMeetUpIncoming VideoSwitch"",
""scenarioType"": ""callOrMeetUp"",
""smartReplyClickPosition"": -1,
""smartReplyLength"": -1,
""smbintent"": ""Neutral"",
""smbintentConfidenceScore"": ""0.50"",
""smbIntentScore"": ""0.50"",
""teamSize"": 0,
""threadId"":
""19:meeting_NTk2ZjBiYzUtZTcyMi00YjM3LTk1MDctOG
JIOTQ5MGE5YjVk@thread.v2"",
""userRole"": ""default"",
""mLogAnonymously"": false,
""mStartTimeMillis"": 185801564
}",tap,incomingVideoButtonOff,button,nav,callOrMeetupLive,callOrMeetUpIncoming VideoSwitch,callOrMeetUp,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Adding a meeting to calendar,"Navigate to scheduled meeting chat, click on the add to calendar button to capture this scenario",Primary ,"{
""appMode"": ""phone"",
""collabAppEnabled"": false,
""eventName"": ""panelaction"",
""gesture"": ""tap"",
""id"": 1721838596870,
""isBlocked"": false,
""isContact"": false,
""licenseType"": ""Unknown"",
""mDatabagPropMap"": {},
""moduleName"":
""MessageMeeting Chiclet AddToMyCalendar"",
""moduleType"": ""button"",
""newChatAndChannelEnabled"": false,
""outcome"": ""submit"",
""panelType"": ""chat"",
""paywallLicense"": ""TeamsFree"",
""paywallStatus"": ""false"",
""real DisplayHeightDp"": 804,
""real DisplayWidthDp"": 360,
""scenario"":
""MessageMeeting ChicletAddToMyCalendar"",
""scenarioType"": ""nav"",
""smartReplyClickPosition"": -1,
""smartReply Length"": -1,
""smbIntent"": ""Neutral"",
""smbIntentConfidenceScore"": ""0.50"",
""smbIntentScore"": ""0.50"",
""teamSize"": 0,
""userRole"": ""default"",
""mLogAnonymously"": false,
""mStartTimeMillis"": 186888851
}",tap,MessageMeeting Chiclet AddToMyCalendar,button,submit,chat,MessageMeeting ChicletAddToMyCalendar,nav,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Options - Selecting a custom video background,"Inside the meeting, click on the 3 dots, then click on the change background button to capture this scenario",Primary ,"{
""appMode"": ""phone"",
""callid"": ""ca006ce0-3d7c-4486-a218-9bdbb3e18ae8"",
""callType"": ""scheduled Private Meeting"",
""collabAppEnabled"": false,
""eventName"": ""panelaction"",
""gesture"": ""tap"",
""id"": 1721839293915,
""isBlocked"": false,
""isContact"": false,
""licenseType"": ""Unknown"",
""mDatabag PropMap"": {},
""moduleName"": ""customBackgroundMoreButton"",
""moduleType"": ""button"",
""newChatAndChannelEnabled"": false,
""outcome"": ""enableCustom Background"",
""panelType"": ""actionSheet"",
""paywallLicense"": ""TeamsFree"",
""paywallStatus"": ""false"",
""realDisplayHeightDp"": 804,
""real DisplayWidthDp"": 360,
""scenario"": ""custom BackgroundinCall"",
""scenarioType"": ""callOrMeetUp"",
""smartReplyClickPosition"": -1,
""smartReply Length"": -1, ""smbintent"": ""Neutral"",
""smbIntentConfidenceScore"": ""0.50"",
""smbIntentScore"": ""0.50"",
""teamSize"": 0,
""userRole"": ""default"",
""mLogAnonymously"": false,
}
""mStartTimeMillis"": 187585896",tap,customBackgroundMoreButton,button,enableCustom Background,actionSheet,custom BackgroundinCall,callOrMeetUp,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Leave a meeting,"Inside the meeting, click on leave button capture this scenario",Primary ,"{""appMode"":""phone"",
""eventName"":""panelaction"",
""id"":1723547512158,
""isBlocked"":false,
""isContact"":false,
""licenseType"":""Unknown"",
""mDatabagProp"":""{timeInMeeting:-1,meetingParticipation:consumptionOnly,maxConcurrentVids:0}"",
""mDatabagPropMap"":{""timeInMeeting"":""-1"",
""meetingParticipation"":""consumptionOnly"",
""maxConcurrentVids"":""0""},
""moduleName"":""meetingEnded"",
""moduleType"":""view"",
""panelType"":""view"",
""paywallLicense"":""TeamsFree"",
""paywallStatus"":""false"",
""realDisplayHeightDp"":823.4667,
""realDisplayWidthDp"":384.0,
""scenario"":""meetingJoin"",
""scenarioType"":""meetingJoin"",
""smartReplyClickPosition"":-1,
""smartReplyLength"":-1,
""smbIntent"":""Neutral"",
""smbIntentConfidenceScore"":""0.50"",
""smbIntentScore"":""0.50"",
""teamSize"":0,
""threadId"":""19:meeting_ZjNkMTEzODUtNGVkZC00MGQ4LTk1ZmQtODNiZjM3YWU1NTk2@thread.v2"",
""userRole"":""default"",
""mLogAnonymously"":false,
""mStartTimeMillis"":40423758}",,meetingEnded,view,,view,meetingJoin,meetingJoin,,,,,,,,,,,,,
Android,Collab action,Meeting,Meeting - Leave a meeting,"Inside the meeting, click on leave button capture this scenario",Primary ,"{
""appMode"": ""phone"",
""callDataBag Prop"": ""{\""callid\"":
\""ca006ce0-3d7c-4486-a218-9bdbb3e18ae8\"",
\""isEvEnabled\"":\""false\"",\""participantId\"":
\""44c2a2ff-6477-4602-9caa-a489d00de9d5\""}"",
""callid"": ""ca006ce0-3d7c-4486-a218-9bdbb3e18ae8"",
""callType"": ""scheduled Private Meeting"",
""collabAppEnabled"": false,
""eventName"": ""panelaction"",
""gesture"": ""tap"",
""id"": 1721839524291,
""isBlocked"": false,
""isContact"": false,
""licenseType"": ""Unknown"",
""mDatabagProp"":
""(meeting Duration: 4,totalCall Participants:2}"",
""mDatabag PropMap"": {
""meeting Duration"": ""4"",
""totalCall Participants"": ""2""
},
""moduleName"": ""callEndButton"",
""moduleType"": ""button"",
""newChatAndChannelEnabled"": false,
""outcome"": ""nav"",
""panelType"": ""callOrMeetupLive"",
""paywall License"": ""TeamsFree"",
""paywallStatus"": ""false"",
""real Display HeightDp"": 804,
""real DisplayWidthDp"": 360,
""scenario"": ""callOrMeetUpCall Ended"",
""scenarioType"": ""callOrMeetUp"",
""smartReplyClickPosition"": -1,
""smartReplyLength"": -1,
""smbIntent"": ""Neutral"",
""smbIntentConfidenceScore"": ""0.50"",
""smbIntentScore"": ""0.50"",
""teamSize"": 0,
""threadType"": ""OneOnOneChat"",
""userRole"": ""default"",
""mLogAnonymously"": false,
}
""mStartTimeMillis"": 187816272",tap,callEndButton,button,nav,callOrMeetupLive,callOrMeetUpCall Ended,callOrMeetUp,,OneOnOneChat,,,,,,,,,,,
